client_id,client_name,entity_type,decision,risk_score,individual_justification,original_justification
67477.0,R L FERREIRA CONSULTORIA COMERCIAL LTDA,Business Contractor,Accepted,1.00,Low risk across checks,Low risk across checks
67524.0,53949101 CATHERINE TAMARA CASTILLO,Business Contractor,Accepted,1.00,Low risk across checks,Low risk across checks
67458.0,MARIANA DA SILVA ASSIS LTDA,Business Contractor,Manual Review,3.00,Document rules not fully satisfied,Document rules not fully satisfied
67380.0,RDS Abreu Marketing Promocional,Business Contractor,Accepted,1.00,Low risk across checks,Low risk across checks
67533.0,VALERIA BATISTA PEREIRA DESENVOLVIMENTO DE SOFTWARE LTDA,Business Contractor,Manual Review,3.00,Document rules not fully satisfied,Document rules not fully satisfied
5862.0,Vinny Consulting Limited,Client,Manual Review,3.00,Document rules not fully satisfied,Document rules not fully satisfied
67349.0,GGB,Business Contractor,Manual Review,3.00,Document rules not fully satisfied,Document rules not fully satisfied
67359.0,G M RAMOS LTDA,Business Contractor,Manual Review,3.00,Document rules not fully satisfied,Document rules not fully satisfied
5875.0,ADSKYLABS SA,Client,Manual Review,5.00,Shareholder risk: high,Shareholder risk: high; Document rules not fully satisfied
5875.0,ADSKYLABS SA,Client,Manual Review,5.00,Document rules not fully satisfied,Shareholder risk: high; Document rules not fully satisfied
5803.0,"Plexicus, S.L.",Client,Manual Review,3.00,Document rules not fully satisfied,Document rules not fully satisfied
5859.0,The Commissioned Agency LLC,Client,Manual Review,3.00,Document rules not fully satisfied,Document rules not fully satisfied
5876.0,AA GLASS WINDOWS INC,Client,Manual Review,5.00,Shareholder risk: high,Shareholder risk: high; Document rules not fully satisfied
5876.0,AA GLASS WINDOWS INC,Client,Manual Review,5.00,Document rules not fully satisfied,Shareholder risk: high; Document rules not fully satisfied
5794.0,"Cactus Communications, Inc.",Client,Manual Review,5.00,Company risk: high,Company risk: high; Document rules not fully satisfied
5794.0,"Cactus Communications, Inc.",Client,Manual Review,5.00,Document rules not fully satisfied,Company risk: high; Document rules not fully satisfied
67397.0,Alexia Zoppo Waltiach,Business Contractor,Accepted,1.00,Low risk across checks,Low risk across checks
5893.0,JINC Solutions Ã–U,Client,Manual Review,5.00,Representative risk: high,Representative risk: high
